area_type,availability,location
Super built-up Area,21-Aug,Electronics City Phase 1
Super built-up Area,Ready To Move,Doddakammanahalli
Super built-up Area,Ready To Move,Bellandur
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,18-Feb,Whitefield
Super built-up Area,19-Mar,Hennur Road
Plot Area,18-Nov,Chandapura
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Veersandra
Built-up Area,Ready To Move,Munivenkatppa Layout
Super built-up Area,Ready To Move,Bommanahalli
Super built-up Area,Ready To Move,5th Phase JP Nagar
Super built-up Area,Ready To Move,Uttarahalli
Plot Area,17-Aug,Hennur
Plot Area,Ready To Move,Lakshmipura
Built-up Area,Ready To Move,Harsha Layout
Super built-up Area,Ready To Move,Padmanabhanagar
Super built-up Area,Ready To Move,Sarjapur
Super built-up Area,Ready To Move,Tata Nagar
Super built-up Area,Ready To Move,Bannerghatta Road
Plot Area,Ready To Move,Hulimavu
Super built-up Area,Ready To Move,Kaggadasapura
Super built-up Area,Ready To Move,Sathya Layout
Super built-up Area,Ready To Move,New Thippasandra
Super built-up Area,Ready To Move,Hennur Road
Built-up Area,Ready To Move,Sarjapura - Attibele Road
Built-up Area,Ready To Move,Vijayanagar
Plot Area,Ready To Move,Vidyaranyapura
Super built-up Area,Ready To Move,Hoskote
Super built-up Area,Ready To Move,Hebbal
Super built-up Area,Ready To Move,Chennammana Kere
Plot Area,Ready To Move,Devanahalli
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,18-Jun,JP Nagar
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Hennur
Super built-up Area,Ready To Move,Sarjapur Road
Plot Area,Ready To Move,Hosa Road
Plot Area,Ready To Move,BEML Layout
Super built-up Area,Ready To Move,Hennur Road
Plot Area,Ready To Move,Vijayanagar
Super built-up Area,Ready To Move,Shanti Nagar
Super built-up Area,Ready To Move,Varthur
Super built-up Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,Jigani
Plot Area,18-Jan,Devanahalli
Built-up Area,18-Aug,Bommasandra Industrial Area
Super built-up Area,Ready To Move,Tigalarpalya
Super built-up Area,18-Apr,Munnekollal
Super built-up Area,Ready To Move,Tumkur Road
Super built-up Area,19-Dec,Thanisandra
Plot Area,Ready To Move,Tindlu
Carpet Area,Ready To Move,2nd Block Bel Layout
Super built-up Area,Ready To Move,Vittasandra
Plot Area,Ready To Move,Vijayanagar
Super built-up Area,Ready To Move,sarjapura main road
Plot Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,Nagavarapalya
Plot Area,Ready To Move,Ulsoor
Super built-up Area,Ready To Move,Varthur
Super built-up Area,Ready To Move,Kumbena Agrahara
Plot Area,Ready To Move,Banaswadi
Super built-up Area,18-Mar,Electronic City
Super built-up Area,Ready To Move,Coconut Grove Layout
Super built-up Area,Ready To Move,Hiremath Layout
Super built-up Area,Ready To Move,Yeshwanthpur
Plot Area,17-Aug,Anekal - Hosur Road
Super built-up Area,Ready To Move,Hormavu
Plot Area,Ready To Move,Karuna Nagar
Super built-up Area,18-Dec,Whitefield
Super built-up Area,17-Jun,Nallurhalli
Super built-up Area,Ready To Move,Prithvi Layout
Super built-up Area,Ready To Move,Hennur Road
Built-up Area,Ready To Move,Bellandur
Super built-up Area,Ready To Move,Pai Layout
Super built-up Area,18-May,Banashankari Stage V
Super built-up Area,Ready To Move,Akshayanagara East
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Babusapalaya
Super built-up Area,Ready To Move,Nagarbhavi
Super built-up Area,19-Jan,Kanakpura Road
Super built-up Area,Ready To Move,Ashwath Nagar
Built-up Area,Ready To Move,Yelahanka New Town
Super built-up Area,Ready To Move,Bannerghatta Road
Super built-up Area,Ready To Move,Yelahanka
Built-up Area,Ready To Move,Kaggadasapura
Super built-up Area,Ready To Move,MCECHS layout
Super built-up Area,Ready To Move,Dodda Nekkundi
Super built-up Area,Ready To Move,Koramangala
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Bisuvanahalli
Super built-up Area,Ready To Move,4th Block Jayanagar
Super built-up Area,Ready To Move,Channasandra
Plot Area,Ready To Move,Yelahanka
Built-up Area,Ready To Move,Jyothi Nagar
Built-up Area,Ready To Move,8th Phase JP Nagar
Super built-up Area,Ready To Move,Kambipura
Super built-up Area,Ready To Move,Rachenahalli
Super built-up Area,21-Mar,Yelahanka
Built-up Area,Ready To Move,Hulimavu
Super built-up Area,Ready To Move,Kenchenahalli
Plot Area,Ready To Move,Lingarajapuram
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Kasturi Nagar
Super built-up Area,18-Apr,Marathahalli
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,19-Apr,Ambalipura
Super built-up Area,Ready To Move,Doddabommasandra
Super built-up Area,Ready To Move,Akshaya Vana
Super built-up Area,Ready To Move,5th Phase JP Nagar
Super built-up Area,Ready To Move,Kasavanhalli
Super built-up Area,Ready To Move,Doddathoguru
Super built-up Area,18-Sep,Chandapura
Super built-up Area,Ready To Move,Chandapura
Built-up Area,Ready To Move,Nagappa Reddy Layout
Super built-up Area,Ready To Move,Nagadevanahalli
Super built-up Area,18-Aug,7th Phase JP Nagar
Super built-up Area,Ready To Move,Rajiv Gandhi Nagar
Built-up Area,Ready To Move,R.T. Nagar
Super built-up Area,Ready To Move,Yelahanka New Town
Super built-up Area,Ready To Move,Nehru Nagar
Super built-up Area,Ready To Move,Silver Springs Layout
Built-up Area,Ready To Move,1st Block Koramangala
Plot Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,Sarjapur Road
Built-up Area,Ready To Move,Hebbal
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,18-Dec,ITPL
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Haralur Road
Super built-up Area,21-Dec,Bannerghatta
Super built-up Area,18-Mar,Whitefield
Super built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,18-Jun,Ramagondanahalli
Super built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,22-Jun,Hoodi
Super built-up Area,18-Apr,Sarjapur Road
Built-up Area,Ready To Move,Kaveri Nagar
Super built-up Area,Ready To Move,Hormavu
Super built-up Area,19-Sep,Marathahalli
Super built-up Area,Ready To Move,Vasanthapura
Built-up Area,Ready To Move,Kengeri
Super built-up Area,Ready To Move,5th Phase JP Nagar
Built-up Area,16-Oct,Electronic City Phase II
Super built-up Area,Ready To Move,Canara Bank Colony
Super built-up Area,18-Jul,8th Phase JP Nagar
Plot Area,Ready To Move,Arekere
Super built-up Area,18-Dec,Hebbal
Super built-up Area,Ready To Move,Banashankari
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,18-Apr,Whitefield
Super built-up Area,Ready To Move,Hennur
Super built-up Area,Ready To Move,Haralur Road
Super built-up Area,17-Jul,Anandapura
Super built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,Crimson Layout
Super built-up Area,19-Dec,Chandapura
Built-up Area,Ready To Move,Hennur Road
Super built-up Area,Ready To Move,Kadugodi
Super built-up Area,Ready To Move,Yelahanka New Town
Super built-up Area,18-May,Virat Nagar
Built-up Area,Ready To Move,R.T. Nagar
Plot Area,Ready To Move,Arekere
Plot Area,18-Apr,Yemlur
Built-up Area,18-Mar,Ramamurthy Nagar Extension
Super built-up Area,Ready To Move,Horamavu Banaswadi
Super built-up Area,Ready To Move,Haralur Road
Super built-up Area,Ready To Move,CV Raman Nagar
Plot Area,Ready To Move,"2nd phase jp nagar, jp nagar"
Built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,Hebbal
Built-up Area,18-May,Mathikere Extension
Super built-up Area,Ready To Move,Yeshwanthpur
Plot Area,18-May,Sarjapur Road
Built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Vittasandra
Super built-up Area,Ready To Move,Ashwini layout
Super built-up Area,Ready To Move,Gollarapalya Hosahalli
Plot Area,Ready To Move,Malleshpalya
Plot Area,Ready To Move,Indra Nagar
Super built-up Area,19-Apr,Mysore Road
Plot Area,Ready To Move,Whitefield
Plot Area,Ready To Move,Kanakpura Road
Plot Area,Ready To Move,Moodalapalya
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Kadugodi
Super built-up Area,Ready To Move,Channasandra
Super built-up Area,Ready To Move,Choodasandra
Plot Area,Ready To Move,BEML Layout 5th Stage
Super built-up Area,Ready To Move,Green Glen Layout
Super built-up Area,Ready To Move,Iblur Village
Super built-up Area,Ready To Move,Sanjay nagar
Built-up Area,Ready To Move,Kalena Agrahara
Super built-up Area,Ready To Move,Hulimavu
Super built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,Domlur
Super built-up Area,Ready To Move,Thanisandra
Built-up Area,Ready To Move,Manonarayanapalya
Built-up Area,Ready To Move,Hormavu
Super built-up Area,Ready To Move,Kasavanhalli
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Begur Road
Super built-up Area,Ready To Move,Cholanayakanahalli
Super built-up Area,Ready To Move,Jakkur Plantation
Plot Area,Ready To Move,4th T block Jayanagar
Built-up Area,Ready To Move,Yelahanka
Super built-up Area,18-Jun,1st Block Jayanagar
Built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,M V Extenstion
Super built-up Area,Ready To Move,Kengeri Satellite Town
Super built-up Area,18-May,Ramagondanahalli
Super built-up Area,Ready To Move,Hebbal
Super built-up Area,19-Nov,Sarjapur Road
Built-up Area,Ready To Move,Canara Bank Colony
Plot Area,Ready To Move,Gottigere
Built-up Area,Ready To Move,GM Palaya
Super built-up Area,18-Apr,Kamdhenu Nagar
Built-up Area,Ready To Move,Sarjapur Road
Plot Area,18-May,Kasavanhalli
Plot Area,Ready To Move,Brookefield
Super built-up Area,Ready To Move,Kudlu
Super built-up Area,18-Aug,Kanakapura
Built-up Area,Ready To Move,Electronic City Phase II
Super built-up Area,Ready To Move,Vinayaka Nagar
Plot Area,Ready To Move,HAL 2nd Stage
Plot Area,Ready To Move,Konanakunte
Super built-up Area,Ready To Move,Kathriguppe
Super built-up Area,18-Feb,Old Madras Road
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Panathur
Super built-up Area,Ready To Move,Brindavan Nagar
Super built-up Area,20-May,1st Block Jayanagar
Built-up Area,Ready To Move,Reliaable Tranquil Layout
Super built-up Area,Ready To Move,Yelachenahalli
Super built-up Area,Ready To Move,RMV
Built-up Area,Ready To Move,Harlur
Built-up Area,Ready To Move,Somasundara Palya
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Horamavu Agara
Super built-up Area,Ready To Move,Begur Road
Super built-up Area,Ready To Move,Pattanagere
Built-up Area,Ready To Move,Munnekollal
Super built-up Area,Ready To Move,Battarahalli
Plot Area,Ready To Move,Himagiri Meadows
Built-up Area,Ready To Move,HRBR Layout
Super built-up Area,Ready To Move,Vittasandra
Super built-up Area,18-Dec,JP Nagar
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,18-Nov,Govindpura
Super built-up Area,Ready To Move,HSR Layout
Super built-up Area,18-Dec,Sarjapur Road
Plot Area,Ready To Move,Ganganahalli
Built-up Area,Ready To Move,Vidyaranyapura
Super built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Magadi Road
Super built-up Area,Ready To Move,Old Madras Road
Built-up Area,Ready To Move,Hormavu
Super built-up Area,Ready To Move,HSR Layout
Super built-up Area,Ready To Move,Bommasandra
Super built-up Area,18-Apr,Thanisandra
Super built-up Area,21-Jul,Devanahalli
Super built-up Area,Ready To Move,Narayanappa Garden
Super built-up Area,Ready To Move,BTM 2nd Stage
Built-up Area,Ready To Move,Anandapura
Super built-up Area,Ready To Move,1st Phase JP Nagar
Super built-up Area,Ready To Move,Brookefield
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Hanumantha Nagar
Super built-up Area,Ready To Move,Kadubeesanahalli
Super built-up Area,Ready To Move,Kalena Agrahara
Plot Area,Ready To Move,3rd Block Hrbr Layout
Super built-up Area,Ready To Move,6th Phase JP Nagar
Super built-up Area,21-Dec,Hoodi
Super built-up Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,RWF West Colony
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Sarjapura - Attibele Road
Built-up Area,Ready To Move,Ananth Nagar
Super built-up Area,Ready To Move,Thigalarapalya
Built-up Area,18-Aug,Electronic City Phase II
Built-up Area,Ready To Move,Brookefield
Super built-up Area,Ready To Move,Mahadevpura
Super built-up Area,Ready To Move,7th Phase JP Nagar
Plot Area,Ready To Move,Hebbal Kempapura
Plot Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,Seetharampalya
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Kaggadasapura
Built-up Area,Ready To Move,Mallasandra
Super built-up Area,Ready To Move,Kanaka Nagar
Super built-up Area,18-Dec,Sonnenahalli
Built-up Area,Ready To Move,Indira Nagar
Super built-up Area,Ready To Move,Stage-4 Bommanahalli
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Rest House Road
Built-up Area,18-Apr,Frazer Town
Super built-up Area,Ready To Move,Bharathi Nagar
Super built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,18-Jun,KR Puram
Built-up Area,Ready To Move,Whitefield
Super built-up Area,18-Aug,Electronic City Phase II
Plot Area,Ready To Move,Channasandra
Plot Area,18-May,Giri Nagar
Super built-up Area,18-Nov,Sarjapur Road
Built-up Area,Ready To Move,Jalahalli
Plot Area,Ready To Move,Immadihalli
Plot Area,Ready To Move,Ramamurthy Nagar
Super built-up Area,18-Jul,Bhoganhalli
Built-up Area,Ready To Move,Margondanahalli
Super built-up Area,18-Jul,Bommanahalli
Super built-up Area,Ready To Move,Poorna Pragna Layout
Super built-up Area,19-Jul,Kanakpura Road
Built-up Area,Ready To Move,Kempapura
Super built-up Area,Ready To Move,Nagappa Reddy Layout
Super built-up Area,Ready To Move,Hoodi
Plot Area,Ready To Move,Rajaji Nagar
Super built-up Area,Ready To Move,Gunjur
Super built-up Area,Ready To Move,Bellandur
Super built-up Area,19-Mar,Hosa Road
Super built-up Area,Ready To Move,Rachenahalli
Built-up Area,Ready To Move,Thubarahalli
Super built-up Area,Ready To Move,Hebbal
Super built-up Area,19-Mar,Hosa Road
Built-up Area,Ready To Move,Ex-Servicemen Colony Dinnur Main Road R.T.Nagar
Super built-up Area,Ready To Move,Begur Road
Super built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,Thigalarapalya
Super built-up Area,Ready To Move,Dollars Colony
Super built-up Area,Ready To Move,KUDLU MAIN ROAD
Super built-up Area,Ready To Move,Alur
Super built-up Area,Ready To Move,Vijayanagar
Built-up Area,Ready To Move,Vijay Nagar
Super built-up Area,Ready To Move,Sarjapur
Super built-up Area,19-Sep,Yelahanka New Town
Super built-up Area,20-Aug,Begur Road
Super built-up Area,Ready To Move,Vijayanagar
Super built-up Area,Ready To Move,Harlur
Super built-up Area,18-May,Bommasandra
Plot Area,Ready To Move,Kenchenahalli
Super built-up Area,Ready To Move,Indira Nagar
Super built-up Area,18-Dec,Whitefield
Super built-up Area,18-Jun,Hosa Road
Plot Area,Ready To Move,Subramanyapura
Plot Area,Ready To Move,Hennur Bande
Super built-up Area,Ready To Move,Carmelaram
Super built-up Area,Ready To Move,Thigalarapalya
Super built-up Area,Ready To Move,Basapura
Super built-up Area,Ready To Move,Hennur Road
Super built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,Hebbal
Built-up Area,Ready To Move,Kudlu
Built-up Area,Ready To Move,GM Palaya
Super built-up Area,Ready To Move,Cunningham Road
Super built-up Area,Ready To Move,Banashankari Stage III
Super built-up Area,20-Jan,Binny Pete
Built-up Area,Ready To Move,Malleshwaram
Built-up Area,Ready To Move,Benson Town
Super built-up Area,Ready To Move,Kambipura
Built-up Area,Ready To Move,Nagarbhavi
Super built-up Area,Ready To Move,Atmananda Colony
Built-up Area,Ready To Move,Begur
Super built-up Area,Ready To Move,Dasarahalli
Super built-up Area,18-Apr,Binny Pete
Super built-up Area,20-Dec,CMH Road
Built-up Area,Ready To Move,Kanakapura
Super built-up Area,Ready To Move,Harlur
Super built-up Area,18-Jun,Subramanyapura
Super built-up Area,Ready To Move,Doddaballapur
Super built-up Area,Ready To Move,6th Phase JP Nagar
Super built-up Area,Ready To Move,Ankappa Layout
Super built-up Area,Ready To Move,Hennur Road
Super built-up Area,15-Oct,Byadarahalli
Super built-up Area,Ready To Move,Begur
Super built-up Area,18-Dec,Chandapura
Super built-up Area,Ready To Move,Koramangala
Plot Area,Ready To Move,Vishveshwarya Layout
Super built-up Area,Ready To Move,Electronics City Phase 1
Super built-up Area,Ready To Move,Nagavara
Super built-up Area,Ready To Move,Baba Nagar
Built-up Area,Ready To Move,BTM Layout
Super built-up Area,Ready To Move,JP Nagar
Super built-up Area,18-Aug,Magadi Road
Super built-up Area,Ready To Move,Neelasandra
Super built-up Area,Ready To Move,Devarachikkanahalli
Plot Area,Ready To Move,Yediyur
Super built-up Area,Ready To Move,BTM 2nd Stage
Built-up Area,Ready To Move,Electronic City
Super built-up Area,20-Dec,Old Madras Road
Super built-up Area,Ready To Move,Gottigere
Super built-up Area,18-Apr,Haralur Road
Super built-up Area,21-Dec,Kanakpura Road
Super built-up Area,20-Oct,Hosa Road
Built-up Area,Ready To Move,Upadhyaya Layout
Super built-up Area,18-Dec,Old Airport Road
Super built-up Area,Ready To Move,Domlur
Super built-up Area,Ready To Move,Panathur
Super built-up Area,19-Jan,Chandapura
Built-up Area,Ready To Move,Nagavarapalya
Super built-up Area,Ready To Move,Cox Town
Super built-up Area,18-Apr,Kadugodi
Built-up Area,Ready To Move,Kadugodi
Plot Area,Ready To Move,Ittamadu
Super built-up Area,Ready To Move,Whitefield
Plot Area,Ready To Move,Naganathapura
Super built-up Area,Ready To Move,Green Glen Layout
Plot Area,Ready To Move,Whitefield
Built-up Area,Ready To Move,Balagere
Super built-up Area,Ready To Move,Doddathoguru
Super built-up Area,Ready To Move,Lakshminarayana Pura
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Built-up Area,Ready To Move,Chandapura
Super built-up Area,Ready To Move,Kaggalipura
Super built-up Area,19-Jul,Ramamurthy Nagar
Super built-up Area,Ready To Move,Jakkuru Layout
Super built-up Area,Ready To Move,Kudlu Gate
Plot Area,18-Apr,bsk 6th stage 2ad block near sri conversation hall
Super built-up Area,Ready To Move,KR Puram
Super built-up Area,Ready To Move,Hosur Road
Super built-up Area,18-Apr,Virat Nagar
Built-up Area,Ready To Move,NRI Layout
Plot Area,Ready To Move,Hoodi
Super built-up Area,18-Feb,Panathur
Built-up Area,Ready To Move,Kallumantapa
Plot Area,Ready To Move,"Annapoorneshwari Layout, JP nagar 7th phase"
Super built-up Area,18-Aug,Iblur Village
Super built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,Mysore Road
Built-up Area,Ready To Move,Malleshpalya
Plot Area,Ready To Move,Mudalpalaya
Super built-up Area,18-May,Old Madras Road
Super built-up Area,Ready To Move,Budigere
Super built-up Area,18-Jul,Whitefield
Super built-up Area,Ready To Move,Sarjapur Road
Built-up Area,18-Apr,elachenahalli
Plot Area,Ready To Move,CV Raman Nagar
Plot Area,Ready To Move,Hormavu
Plot Area,Ready To Move,Poorna Pragna Layout
Built-up Area,Ready To Move,Ramagondanahalli
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Chikkalasandra
Plot Area,Ready To Move,B K Nagar
Super built-up Area,Ready To Move,Malleshwaram
Plot Area,Ready To Move,Hosur Road
Super built-up Area,Ready To Move,Vivek Nagar
Built-up Area,Ready To Move,Kumaraswami Layout
Built-up Area,16-Sep,Indira Nagar
Built-up Area,Ready To Move,Anjanapura
Super built-up Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,Yelahanka
Built-up Area,18-Apr,Banashankari Stage III
Super built-up Area,Ready To Move,7th Phase JP Nagar
Built-up Area,Ready To Move,Jakkur
Super built-up Area,Ready To Move,Budigere
Built-up Area,Ready To Move,7th Phase JP Nagar
Plot Area,Ready To Move,Bommenahalli
Super built-up Area,Ready To Move,Green Glen Layout
Super built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,19-Dec,Venkatapura
Plot Area,18-May,Yelachenahalli
Built-up Area,Ready To Move,Yelahanka
Built-up Area,Ready To Move,Kasavanhalli
Plot Area,Ready To Move,Hennur Road
Super built-up Area,Ready To Move,Yeshwanthpur
Carpet Area,20-Dec,Kanakpura Road
Super built-up Area,19-Mar,Gopalapura
Super built-up Area,Ready To Move,Hennur Road
Built-up Area,17-Mar,Meenakunte
Plot Area,Ready To Move,Banjara Layout
Plot Area,Ready To Move,Sarjapur Road
Plot Area,17-Sep,Bommasandra
Super built-up Area,Ready To Move,Electronics City Phase 1
Built-up Area,Ready To Move,Thyagaraja Nagar
Plot Area,Ready To Move,Banashankari Stage III
Built-up Area,Ready To Move,Basavanna Nagar
Super built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Old Madras Road
Super built-up Area,Ready To Move,Attibele
Built-up Area,Ready To Move,Yelahanka
Built-up Area,Ready To Move,Choodasandra
Built-up Area,Ready To Move,Hebbal Kempapura
Built-up Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,Bisuvanahalli
Built-up Area,Ready To Move,Nehru Nagar
Built-up Area,19-Jan,Kanakpura Road
Built-up Area,Ready To Move,Kengeri
Super built-up Area,Ready To Move,Basavangudi
Super built-up Area,Ready To Move,Sarjapur Road
Built-up Area,18-Jan,Hosa Road
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Whitefield
Plot Area,Ready To Move,KR Puram
Super built-up Area,Ready To Move,Electronic City
Super built-up Area,18-Feb,Varthur
Super built-up Area,Ready To Move,Dairy Circle
Super built-up Area,Ready To Move,Dodsworth Layout
Plot Area,Ready To Move,Thurahalli
Super built-up Area,Ready To Move,Kundalahalli
Super built-up Area,18-Jul,Chandapura
Super built-up Area,Ready To Move,Electronics City Phase 1
Super built-up Area,Ready To Move,Marathahalli
Super built-up Area,20-Jan,Badavala Nagar
Super built-up Area,Ready To Move,Electronic City Phase II
Plot Area,Ready To Move,"Banashankari 6th stage , 2nd block"
Super built-up Area,Ready To Move,Hebbal
Built-up Area,Ready To Move,Raghuvanahalli
Super built-up Area,Ready To Move,Haralur Road
Super built-up Area,Ready To Move,Brookefield
Super built-up Area,Ready To Move,Sarjapur
Super built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,18-Jun,8th Phase JP Nagar
Super built-up Area,19-Jul,Cunningham Road
Super built-up Area,Ready To Move,Subramanyapura
Super built-up Area,Ready To Move,Chelekare
Super built-up Area,Ready To Move,Belatur
Plot Area,Ready To Move,Vijayanagar
Plot Area,Ready To Move,KR Puram
Super built-up Area,Ready To Move,Lakshminarayana Pura
Super built-up Area,Ready To Move,8th Phase JP Nagar
Super built-up Area,18-Apr,Sarjapur Road
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Kalena Agrahara
Super built-up Area,Ready To Move,Old Madras Road
Super built-up Area,Ready To Move,Rajaji Nagar
Super built-up Area,17-Sep,Attibele
Super built-up Area,Ready To Move,Ramamurthy Nagar
Built-up Area,Ready To Move,Srirampuram
Super built-up Area,Ready To Move,Thanisandra
Plot Area,Immediate Possession,Kasavanhalli
Super built-up Area,Ready To Move,Sarjapur Road
Built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Kudlu
Super built-up Area,19-Jul,Uttarahalli
Super built-up Area,18-Apr,Electronic City Phase II
Super built-up Area,Ready To Move,Whitefield
Built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,Narayanapura
Super built-up Area,19-Mar,Hennur Road
Super built-up Area,18-Apr,Haralur Road
Built-up Area,Ready To Move,Kalyan nagar
Plot Area,Ready To Move,2nd Phase JP Nagar
Plot Area,Ready To Move,KR Puram
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Built-up Area,Ready To Move,Akshaya Nagar
Built-up Area,Ready To Move,Doddathoguru
Super built-up Area,19-Dec,Jakkur
Built-up Area,Ready To Move,Jakkuru Layout
Plot Area,18-Jul,Nelamangala
Plot Area,Ready To Move,Nagawara Junction
Super built-up Area,Ready To Move,Mysore Road
Super built-up Area,Ready To Move,Thanisandra
Plot Area,Ready To Move,7th Phase JP Nagar
Plot Area,Ready To Move,Hoysalanagar
Super built-up Area,Ready To Move,Battarahalli
Super built-up Area,18-Dec,Kundalahalli
Super built-up Area,18-Oct,Whitefield
Super built-up Area,18-Feb,Yelahanka
Built-up Area,Ready To Move,Chikkabanavar
Super built-up Area,Ready To Move,Abbaiah Reddy Layout
Plot Area,Ready To Move,Tavarekere
Super built-up Area,Ready To Move,Budigere
Super built-up Area,18-Dec,Hennur Road
Super built-up Area,Ready To Move,Nagavara
Super built-up Area,Ready To Move,1st Block HRBR Layout
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,19-Dec,Thanisandra
Built-up Area,Ready To Move,Sarjapur Road
Plot Area,Ready To Move,Indira Nagar
Plot Area,Ready To Move,Naganathapura
Plot Area,Ready To Move,Tavarekere
Super built-up Area,Ready To Move,Indira Nagar
Built-up Area,Ready To Move,JP Nagar
Built-up Area,Ready To Move,KG Halli
Super built-up Area,Ready To Move,Balagere
Plot Area,Ready To Move,Kanakpura Road
Super built-up Area,Ready To Move,Cubbon Road
Super built-up Area,Ready To Move,Hennur Road
Super built-up Area,Ready To Move,Lavelle Road
Plot Area,Ready To Move,Varanasi
Plot Area,Ready To Move,Geddalahalli
Super built-up Area,Ready To Move,Marathahalli
Plot Area,Ready To Move,Kudlu Gate
Built-up Area,Ready To Move,Kada Agrahara
Built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Dodsworth Layout
Super built-up Area,Ready To Move,Kadugodi
Super built-up Area,Ready To Move,Subramanyapura
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Old Madras Road
Super built-up Area,Ready To Move,Bellandur
Super built-up Area,Ready To Move,Hosur Road
Super built-up Area,Ready To Move,Green Glen Layout
Built-up Area,Ready To Move,Veerabhadra Nagar
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,8th Phase JP Nagar
Super built-up Area,18-Nov,Thanisandra
Super built-up Area,Ready To Move,Kalkere
Super built-up Area,Ready To Move,Basavangudi
Plot Area,Ready To Move,Konanakunte
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Bommanahalli
Plot Area,Ready To Move,Ramamurthy Nagar Extension
Super built-up Area,18-May,Electronic City Phase II
Built-up Area,Ready To Move,Anekal
Super built-up Area,19-Jun,Hebbal
Built-up Area,Ready To Move,Maruthi Nagar
Super built-up Area,Ready To Move,Vidhyanagar Cross
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Varthur
Super built-up Area,Ready To Move,Gottigere
Plot Area,Ready To Move,NRI Layout
Plot Area,Ready To Move,Hennur Road
Plot Area,Ready To Move,7th Block Jayanagar
Super built-up Area,Ready To Move,Hebbal
Super built-up Area,Ready To Move,7th Phase JP Nagar
